Module,Type,Issue / Feature,Description,Priority
Applications,Correction,Incomplete AI Rating Workflow,"The refreshAiRating endpoint is currently stubbed and just returns a success message without triggering the AI queue. The AI score fetched in findOne is pulled from the basic tag-based job_candidate_matches table rather than the dedicated ai_ratings LLM table.",High
Applications,Enhancement,Auto-Trigger AI Rescans,"When a candidate's resume, skills, or experience is updated, any linked Applications should automatically have their AI Ratings marked as 'stale' or auto-enqueue a rescan.",High
Candidates,Correction,Robust Phone Normalization,"Duplicate detection heavily relies on normalized phone numbers. The system should use a robust library (like google-libphonenumber) to handle international country codes, spaces, and dashes consistently.",Medium
Candidates,Enhancement,PII Anonymization for LLMs,"To ensure data privacy and prevent bias, Personally Identifiable Information (PII) like names, emails, and phone numbers should be stripped or masked before sending resume data to external AI providers (Groq/OpenAI).",High
AI & Parsing,Correction,AI Rate Limiting & Circuit Breakers,"The AI background jobs can fail if Groq/Gemini hits rate limits. The queue processors need exponential backoff, retry mechanisms, and dead-letter queues to handle transient API failures gracefully.",High
AI & Parsing,Enhancement,Expanded Soft-Skill Extraction,"The current parsing prompts focus heavily on hard technical skills. They could be expanded to extract soft skills, leadership indicators, and behavioral traits from project summaries.",Low
Matching,Correction,Advanced Semantic Matching,"matching.service.ts currently uses basic SQL tag intersection (COUNT of matching tags) to generate similarity scores. It should be upgraded to use vector embeddings (pgvector) or semantic similarity for more accurate candidate-to-JD matching.",Medium
Matching,Enhancement,Weighted Nice-to-Have Skills,"The current matching query strictly filters by 'is_starred' (Must-Have) skills. It should factor in 'Nice-to-Have' skills with a lower weight to provide a more nuanced score.",Medium
Tags,Enhancement,Tag Clustering & Aliasing,"Tag normalization might still allow semantic duplicates (e.g., 'React' vs 'React.js' vs 'ReactJS'). Implementing an AI-driven tag alias dictionary would prevent duplicate tag pollution.",Medium
Queue,Enhancement,Queue Monitoring Dashboard,"Add a BullMQ dashboard (e.g., bull-board) to the admin UI to allow administrators to monitor active queues, view failed parsing/rating jobs, and manually retry them.",Medium
Auth & Core,Correction,Hardcoded Organization IDs,"There are fallback hardcoded org IDs (e.g., '7af2ebf4-...') in fallback logic (like manual candidate creation). These should be removed to enforce strict multi-tenant session validation.",High
Auth & Core,Correction,Secure Document Access,"Ensure that Signed URLs or presigned S3/Supabase links for candidate resumes enforce organization-level isolation, preventing a user from one org from viewing a resume belonging to another.",High
Admin Settings,Enhancement,Proactive API Key Validation,"When an admin updates the AI provider API Key (Groq/Gemini) in the UI, the backend should fire a small test ping to the provider to validate the key before saving it to the database.",Medium
Applications,Enhancement,Real-time WebSocket Updates,"Instead of the UI polling or requiring manual refreshes, integrate WebSockets or SSE (Server-Sent Events) to push notifications to the frontend the moment an AI Rating or parsed resume finishes processing in the background.",Medium
Interviews & Feedback,Correction,Automated SLA Escalation,"The background queue currently has mock reminders. It needs to fully implement the MVP logic to escalate overdue feedback to HR/Hiring Managers if not submitted within 24-48 hours.",High
Interviews & Feedback,Enhancement,Multi-Interviewer Rules,"The blueprint specifies rules where 'All required interviewers must submit' vs 'Any one can submit'. This rule configuration is missing from the interview scheduling UI and backend logic.",Medium
Candidates,Enhancement,Candidate Merge Requests,"The duplicate detection blocks submission, but the UI lacks the MVP phase-2 flow to create 'Merge Requests' or perform actual candidate profile merging for high-confidence duplicates.",Low
Applications,Correction,Stage Data Quality Gates,"Stage transitions (e.g. New -> Screening -> Interviewing -> Offer) lack strict data quality gates. For example, moving to 'Interviewing' should be blocked if contact info or total exp is missing, and 'Offer' should be blocked if feedback is pending.",High
Dashboard,Enhancement,Actionable Task Widgets,"The Dashboard lacks the 'My Tasks' widgets specifically called out in the MVP: pending feedback tasks, stale AI ratings, and today's interviews.",Medium
Reports,Feature,MVP Success Metrics Reports,"The system is entirely missing the 'Reports' module required for MVP scorecards: Time-to-schedule, Feedback SLA performance, Pipeline conversion per JD, and Duplicate blocks count.",High
